编号,实体1,关系,实体2
3359,陆玩,mate,未知
4395,吴达,mate,未知
4608,徐统,mate,未知
5907,司马钧,mate,未知
4701,荀融,mate,未知
5973,范明友,mate,未知
4589,徐季龙,mate,未知
4008,孙虑[孙綝兄],mate,未知
3662,谯秀,mate,未知
3181,刘龟,mate,未知
5839,刘必,mate,未知
2726,扈瑁,mate,未知
2119,第五巡,mate,未知
4957,虞溥,mate,未知
3344,鲁昔,mate,未知
4562,辛韬,mate,未知
2282,范旃,mate,未知
4036,孙希,mate,未知
5420,周光,mate,未知
2048,崔洪,mate,未知
5042,载斯,mate,未知
3939,孙弼,mate,未知
2634,何劭,mate,未知
2707,胡罴,mate,未知
4827,杨融,mate,未知
2311,冯肃,mate,未知
5098,张富,mate,未知
1886,曹纂,mate,未知
3601,裴潜[吴],mate,未知
1952,陈敏,mate,未知
1961,陈融,mate,未知
4536,谢慈,mate,未知
5947,雍齿,mate,未知
2607,郝旦,mate,未知
4105,滕牧,mate,未知
4874,阴澹,mate,未知
5566,左延年,mate,未知
1875,曹震,mate,未知
4841,杨宣,mate,未知
2856,贾氏[韩寿妻],mate,韩寿
4630,许玚,mate,未知
4050,孙壹[孙奂子],mate,邢贵人
5441,周生烈,mate,未知
4221,王卢九,mate,未知
4927,优居,mate,未知
2080,单固,mate,未知
4278,王裦,mate,未知
4366,温恕,mate,未知
2898,焦璜,mate,未知
4150,王承[东汉],mate,未知
2276,范陵,mate,未知
5198,张显,mate,未知
3265,刘询[东汉],mate,未知
2455,顾谦,mate,未知
2512,郭躬,mate,未知
3107,梁几,mate,未知
4982,郁筑鞬,mate,未知
5577,张休[魏],mate,未知
4912,应奉,mate,未知
5271,赵孔曜,mate,未知
1980,陈象,mate,未知
4013,孙弥[孙皎子],mate,未知
4662,许综,mate,未知
5805,曹氏[孙匡妻],mate,孙匡
4977,庾峻,mate,未知
3741,汝超,mate,未知
5507,诸葛建,mate,未知
2711,胡威,mate,未知
2951,孔衍,mate,未知
2544,郭奕[西晋],mate,未知
5618,孙弥[孙瑜子],mate,未知
3275,刘曜[魏],mate,未知
5605,王皇后,mate,曹芳
2863,贾原,mate,未知
4164,王范,mate,未知
3077,李移子,mate,未知
5952,元稹,mate,未知
4418,吴述,mate,未知
5365,郑札,mate,未知
5451,周奕,mate,未知
2741,华谭,mate,未知
4012,孙茂,mate,未知
5287,赵伟璋,mate,未知
3795,盛匡,mate,未知
2605,韩宗,mate,未知
2750,怀叙,mate,未知
3435,马合乡侯,mate,未知
3771,劭提,mate,未知
4980,庾顗,mate,未知
4710,荀昙,mate,未知
2558,郭子瑜,mate,未知
5585,张固[西晋],mate,未知
3602,裴钦,mate,未知
2781,皇象,mate,未知
2116,邓子孝,mate,未知
1940,陈济,mate,未知
2932,句丽王宫,mate,未知
4703,荀汪,mate,未知
4920,应詹,mate,未知
4627,徐宗,mate,未知
3692,屈恭,mate,未知
4952,虞放,mate,未知
2198,杜安,mate,未知
5360,郑诩,mate,未知
4628,徐祚,mate,未知
4410,吴林,mate,未知
2218,杜乔,mate,未知
4852,杨准,mate,未知
2212,杜理,mate,未知
5578,张泰[大鸿胪],mate,未知
5490,朱宣,mate,未知
2994,黎韬,mate,未知
4155,王粹,mate,未知
4963,虞耸,mate,未知
5823,周文王,mate,未知
2484,管彦,mate,未知
2118,第五伦,mate,未知
3212,刘隆,mate,未知
5290,赵息,mate,未知
5077,张昶,mate,未知
4406,吴遽,mate,未知
4576,徐彪,mate,未知
2573,韩观,mate,未知
5364,郑豫,mate,未知
2548,郭豫,mate,未知
2026,程咸,mate,未知
3889,宋定,mate,未知
4820,杨穆,mate,未知
5184,张泰[太乐丞],mate,未知
3569,庞奋,mate,未知
4964,虞谭,mate,未知
5058,笮咨,mate,未知
2608,郝光,mate,未知
5162,张岐,mate,未知
3114,梁施,mate,未知
2157,董弼,mate,未知
5647,郭正[魏],mate,未知
4524,向条,mate,未知
2395,葛光,mate,未知
2547,郭昱,mate,未知
3248,刘义逊,mate,未知
5493,朱育,mate,未知
3930,随春,mate,未知
1985,陈业,mate,未知
2478,管季儒,mate,未知
2082,单飏,mate,未知
2450,顾徽,mate,未知
1738,驳位居,mate,未知
3042,李求承,mate,未知
4073,孙遵,mate,未知
1732,邴春,mate,未知
4177,王贵人[曹芳妻],mate,曹芳
5205,张修[魏],mate,未知
3892,宋姬[曹丕妃],mate,曹丕
3544,倪清河,mate,未知
3495,孟观,mate,未知
2657,和离,mate,未知
5325,甄艳,mate,未知
4480,夏侯骏,mate,未知
5546,鬷弘,mate,未知
3882,司马肇,mate,未知
2609,郝凯,mate,未知
2117,邓遵,mate,未知
3736,任旐,mate,未知
5284,赵亭,mate,未知
5008,袁亮,mate,未知
3975,孙宏,mate,未知
4046,孙谞,mate,未知
5376,钟辿,mate,未知
4130,秃瑰来,mate,未知
2194,窦礼,mate,未知
3738,戎末廆,mate,未知
4619,徐英,mate,未知
3794,盛冲,mate,未知
2844,贾彪,mate,未知
2011,成律归,mate,未知
1900,常伯先,mate,未知
2201,杜德,mate,未知
5031,袁毅,mate,未知
5487,朱纬,mate,未知
4464,郤揖,mate,未知
4866,伊声耆,mate,未知
5194,张吴,mate,未知
3649,骞曼,mate,未知
3326,卢谌,mate,未知
5480,朱乔,mate,未知
2509,郭端,mate,未知
4704,荀氏[李翼后妻],mate,李翼
3548,牛亶,mate,未知
2370,高峻,mate,未知
5381,钟觐,mate,未知
5359,郑兴,mate,未知
6154,贾延,mate,未知
5606,显阳乡君,mate,卞隆
5357,郑像,mate,未知
3069,李兴[魏],mate,未知
5587,张奋[吴],mate,未知
2893,蒋壹,mate,未知
5588,张霸[东汉],mate,未知
5627,刘熙[刘靖子],mate,未知
5638,李昭[魏],mate,未知
5210,张恂,mate,未知
3045,李仁[吴],mate,未知
5464,朱诞,mate,未知
2334,傅募,mate,未知
4663,宣璠,mate,未知
5398,钟瑜,mate,未知
2980,乐何当,mate,未知
4858,姚琼,mate,未知
5479,朱南,mate,未知
2950,孔恂,mate,未知
5082,张俶,mate,未知
3223,刘强,mate,未知
2615,浩周,mate,未知
5258,赵达[吴],mate,未知
4123,田晏,mate,未知
3603,裴生,mate,未知
4773,羊度,mate,未知
1954,陈仆,mate,未知
4921,应贞,mate,未知
4226,王秘[魏],mate,未知
5602,王休[东汉],mate,未知
1788,曹范[曹据子],mate,未知
3697,圈文生,mate,未知
5583,张俭[魏],mate,未知
3947,孙绰[西晋],mate,未知
5054,枣嵩,mate,未知
2155,董巴,mate,未知
2643,何勖,mate,未知
2604,韩子助,mate,未知
2014,程昂,mate,未知
5803,曹氏[夏侯尚妻],mate,夏侯尚
2045,王仲,mate,未知
4616,徐逸,mate,未知
5236,张郁,mate,未知
4204,王康,mate,未知
5240,张瓒,mate,未知
3727,任览,mate,未知
2834,纪亮,mate,未知
3721,任藩,mate,未知
4731,延固,mate,未知
4691,荀甝,mate,未知
2614,浩详,mate,未知
4786,杨豹,mate,未知
4565,邢乔,mate,未知
4309,王稚,mate,未知
1997,陈稚叔,mate,未知
2551,郭展,mate,未知
4083,檀谟,mate,未知
5457,周祗,mate,未知
5099,张刚,mate,未知
5101,张阁,mate,未知
4414,吴祺,mate,未知
2256,番苗,mate,未知
3546,聂夔,mate,未知
2404,耿黼,mate,未知
5378,钟敷,mate,未知
4066,孙肇,mate,未知
4227,王明山,mate,未知
4134,万演,mate,未知
3832,士孙萌,mate,未知
2716,胡业,mate,未知
3346,陆耽,mate,未知
4089,唐谱,mate,未知
5304,赵濯,mate,未知
5105,张浩,mate,未知
2912,金玮,mate,未知
4322,韦休甫,mate,未知
5433,周玘,mate,未知
5166,张群,mate,未知
1811,曹焜,mate,未知
3739,荣邵,mate,未知
5049,臧权,mate,未知
4554,谢赞,mate,未知
5367,郑质,mate,未知
4985,爰翰,mate,未知
2623,何洪,mate,未知
4991,袁奥,mate,未知
4705,荀适,mate,未知
5331,陈承,mate,未知
2491,毌丘重,mate,未知
4181,王和平,mate,未知
2193,窦嘉,mate,未知
2125,丁蕃,mate,未知
1832,曹摅,mate,未知
5965,陈阶,mate,未知
5350,郑球,mate,未知
5540,宗惠叔,mate,未知
3106,梁宏,mate,未知
2459,顾悌,mate,未知
2916,胡贵人,mate,司马炎
2619,何典,mate,未知
2521,郭立,mate,未知
1903,常忌,mate,未知
3360,陆喜,mate,未知
1857,曹俨,mate,未知
3898,宋权,mate,未知
2299,封仁,mate,未知
4387,闻人敏,mate,未知
5051,臧宣,mate,未知
2637,何绥,mate,未知
3678,秦翊,mate,未知
5495,朱渊,mate,未知
2386,高贤卿,mate,未知
1911,辰王,mate,未知
4955,虞俊,mate,未知
4993,袁粲,mate,未知
4918,应珣,mate,未知
6001,甄邯,mate,未知
2769,桓翊,mate,未知
3753,芮氏,mate,孙登
3522,缪播,mate,未知
4321,韦隆,mate,未知
5432,周逵,mate,未知
3347,陆宏,mate,未知
4547,谢煚,mate,未知
3568,庞迪,mate,未知
6107,金祎妻,mate,金祎
2199,杜斌,mate,未知
4689,荀旉,mate,未知
5467,朱抚,mate,未知
4167,王访,mate,未知
2553,郭镇,mate,未知
2735,华荟,mate,未知
3756,桑馥,mate,未知
4158,王德弥,mate,未知
4972,虞咨,mate,未知
5104,张翰,mate,未知
2597,韩俨,mate,未知
2627,何龛,mate,未知
5130,张京[功曹],mate,未知
2933,巨槃,mate,未知
5842,周成王,mate,未知
4506,夏逸,mate,未知
6087,葛悌,mate,未知
3591,裴盾,mate,未知
5366,郑召公,mate,未知
4717,荀廙,mate,未知
5612,孙壹[孙霸子],mate,未知
4120,田兴,mate,未知
4733,严苞,mate,未知
4279,王选,mate,未知
4903,尹齐,mate,未知
4207,王旷,mate,未知
1931,陈福,mate,未知
5846,项伯,mate,未知
3082,李翼,mate,荀氏[李翼后妻]
4588,徐箕,mate,未知
2841,祭遵,mate,未知
5269,赵楫,mate,未知
4172,王公仲,mate,未知
2566,韩扁,mate,未知
3462,马训,mate,未知
3766,上官崇,mate,未知
3888,斯敦,mate,未知
1847,曹喜,mate,未知
3733,任养,mate,未知
4010,孙曼,mate,未知
3093,李祯[魏],mate,未知
2864,简氏,mate,未知
3302,刘祗,mate,未知
5072,张邠,mate,未知
3509,孟郁,mate,未知
2848,贾辅,mate,未知
5274,赵谟,mate,未知
4505,夏舍,mate,未知
4947,虞褒,mate,未知
2865,简位居,mate,未知
3913,苏门生,mate,未知
4680,薛郁,mate,未知
2899,焦矫,mate,未知
3503,孟思,mate,未知
5232,张婴[吴],mate,未知
3257,刘偕,mate,未知
3743,阮谌,mate,未知
4068,孙助,mate,未知
4908,尹宗,mate,未知
2600,韩繇,mate,未知
1907,常洽,mate,未知
2683,侯武阳,mate,未知
2290,费齐,mate,未知
5349,郑岐,mate,未知
3382,吕并,mate,未知
5992,王述,mate,未知
3942,孙超,mate,未知
2076,戴颙,mate,未知
3402,吕岐,mate,未知
5268,赵基,mate,未知
2245,咄归,mate,未知
1918,陈粲[魏],mate,未知
2760,桓胜,mate,未知
5245,张祗,mate,未知
3246,刘韪,mate,未知
3157,刘川,mate,未知
5521,诸葛竦,mate,未知
2249,儿孝德,mate,未知
4764,阎缵,mate,未知
3696,去延,mate,未知
3647,牵秀,mate,未知
2592,韩吴郡,mate,未知
3417,栾文博,mate,未知
1842,曹纬,mate,未知
1953,陈牧,mate,未知
5029,袁晔,mate,未知
5389,钟离徇,mate,未知
2100,邓千秋,mate,未知
3954,孙封,mate,未知
1846,曹熙,mate,未知
1854,曹寻,mate,未知
2373,高虑,mate,未知
4885,殷基,mate,未知
3405,吕习,mate,未知
2364,高轨,mate,未知
2189,董胄,mate,未知
3327,卢藩,mate,未知
4670,薛兼,mate,未知
2622,何衡,mate,未知
2222,杜松,mate,未知
2095,邓句,mate,未知
4566,邢贵人,mate,曹芳
4566,邢贵人,mate,孙壹[孙奂子]
1883,曹勤,mate,未知
2162,董访,mate,未知
5543,宗艳,mate,未知
1845,曹翕,mate,未知
3339,卢志,mate,未知
4614,徐揖,mate,未知
4664,宣靖,mate,未知
1904,常静,mate,未知
5342,郑丰,mate,未知
4103,滕耽,mate,未知
1831,曹叔兴,mate,未知
5396,钟毅,mate,未知
3499,孟荆州,mate,未知
3259,刘雄[东汉],mate,未知
1892,柴贵人,mate,曹丕
3287,刘由,mate,未知
1839,曹悌,mate,未知
5308,甄畅,mate,未知
3508,孟英,mate,未知
4544,谢姬,mate,未知
2655,何遵,mate,未知
3742,阮炳,mate,未知
5628,刘熙[刘放子],mate,未知
2368,高靖,mate,未知
5229,张殷,mate,未知
5033,袁宇,mate,未知
4059,孙邕[魏],mate,未知
2438,公绪恭,mate,未知
2078,单伯龙,mate,夏侯氏[单固母]
5217,张壹,mate,未知
3582,庞熙,mate,未知
5985,汗卢维,mate,未知
2903,焦已,mate,未知
2725,扈累,mate,未知
5303,赵仲台,mate,未知
2428,公孙滕,mate,未知
4047,孙洵,mate,未知
3981,孙惠,mate,未知
2250,儿寻,mate,未知
4605,徐氏妇,mate,未知
4138,王毖,mate,未知
3314,留虑,mate,未知
4686,荀绰,mate,未知
4367,温毅,mate,未知
2925,敬侯夫人,mate,卞远
4399,吴奋,mate,未知
4641,许旻,mate,未知
2881,蒋康,mate,未知
3604,裴嵩,mate,未知
3386,吕辰,mate,未知
5967,董宏,mate,未知
4986,爰津,mate,未知
3258,刘昕,mate,未知
2900,焦胜,mate,未知
2244,顿子献,mate,未知
5542,宗修,mate,未知
2554,郭正[东汉],mate,未知
4976,庾遁,mate,未知
5169,张融,mate,未知
4110,梯俊,mate,未知
5063,詹廉,mate,未知
2293,费杨,mate,未知
4285,王羕,mate,未知
3379,闾丘邈,mate,未知
5362,郑翼,mate,未知
2181,董桃,mate,未知
4665,宣隆,mate,未知
3611,裴瓒,mate,未知
2990,雷谭,mate,未知
4558,辛机,mate,未知
3155,刘承[吴],mate,未知
4872,夷廖,mate,未知
4504,夏荣,mate,未知
3816,石威则,mate,未知
3917,苏慎,mate,未知
2449,顾奉,mate,未知
2292,费氏[刘璋母],mate,刘焉
3735,任燠,mate,未知
4711,荀纬,mate,未知
5673,胡华,mate,未知
4837,杨孝祖,mate,未知
5224,张奕[西晋],mate,未知
